Product/Service,Description,Depends on ,ROADMAP,Owner (Continuity Planning) Stanford Department,"RTO
Vendor Return to Operation",Time to Recover - GSB DS,Category,Platform,Principal Technology,"Principal
Support",Remedy Group,Relationship Manager,Product Owner 1,Product Owner 2,GSB Tech Lead,Ciber Team,Org Owner,Documentation,URL,Alias,Admit,Student,Faculty,Staff/ Admin,Alumni,Infra/ IT,Public,rm,Frequency,"L1
Persona",L2 Persona(e),L1 Process(es),L2 Process(es),AC - Owner,Acctbl Director,DS Mgr,DS SME,Expert Partner (Group),Expert Partner (Person),Related Persona(e)
Kiosk - Donor Information,UCView?,,,DS,,,,SaaS,,,,Lisa,LeVine,Rachel,,,,,,,,,,,,,X,,,Public,Prospect for Engagement,Engaging with GSB,,Dave Love,TH,DL,David LeVine,External Relations,?,?
Kiosk - Visitor Information,Perl?,,,DS,,,,Linux,,,,"Tony, Jonas",LeVine,Rachel,,,,,,,,,,,,,X,,,Public,Prospect for Engagement,Engaging with GSB,,Dave Love,TH,DL,David LeVine,Marketing/ Facilities,Bernadette deRafael,Staff|Visitor
Library Requests,Web-to-Case functionality customized for library requests and workflow,,,DS/DES,Salesforce: RTO 12 hours; RPO 4 hours https://drive.google.com/drive/folders/0B2hmx1jxdGcFdHN1aks3aVZtV0U,,CRM,Salesforce,Salesforce,GSB,Application Services,Ranga,Marlen,Julia,,,SaaS,,,,,X,X,X,,,X,Admin,4,Student; Faculty,Academic; Research,Coursework; Scholarly Research,Learn (Take Courses); - ,Parthi,RK,UK,Marlen Wells,GSB Library,Daphne Chang,Staff|Library Services|Librarian
Library-frost_sullivan,WebAuth passthrough for Frost & Sullivan site (restricted access),,,DS,,,AuthN Integration,Linux,Perl,SE,,Ranga,,,,,GSB,,,,,X,X,X,X,,,Admin,9,Student,Academic,Coursework,Learn (Take Courses),Parthi,RK,UK,?,n/a,n/a,n/a
LibraryServices,Links to select library resources for authorized (subscribed) alumni users; TO BE RETIRED SUMMER 2015,,,DS,,,AuthN integration,Windows,ASP,SE,,Ranga,,,,,GSB,,,,,,,X,X,,,Admin,7,Alumnus/a,Personal Growth,Lifelong Learning,,Parthi,n/a,UK,KC Kwong,Alumni Relations,Jill Papageorge,Staff|Alumni Relations
Market Game,Market / trading simulation,,,DS,,,Learning simulation,SaaS,Forio,,,Ranga,,,,,GSB,,,,,,,,,,,,,,,,,John,RJ,JY,Joy,n/a,n/a,MBA|MSx|Ignite
EMS,3rd party room booking software (Windows Client/Server),,Active,DS,,,Calendar,Windows,Product,SE,Application Services,Tony,DevOps,Misha,,,GSB,,https://marrs-gsb.stanford.edu,EMS,,X,X,X,,,,Admin,1,Student,Administrative,Common Processes,Room Booking,Dave Love,TH,DL,Ben Thai,Facilities,Lisa Simpson,Staff|Facilities & Hospitality|Facilities Services
MARRS (Virtual EMS),3rd party room booking software (Virtual EMS),,Active,DS,,,Calendar,Windows,Product,SE,Application Services,Tony,DevOps,Misha,,,GSB,,https://marrs-gsb.stanford.edu,EMS,,X,X,X,,,,Admin,1,Student,Administrative,Common Processes,Room Booking,Dave Love,TH,DL,Ben Thai,Facilities,Lisa Simpson,Staff|Facilities & Hospitality|Facilities Services
MARRS Roomwizard (rwinterface),3rd party interface to Virtual EMS from Room Wizard devices,,,DS,,,Middleware,Windows,Product,SE,Application Services,Tony,KC,,,,GSB,,,,,,,,,X,,Admin,10,System,Infrastructure,?,,Dave Love,TH,DL,KC Kwong?,n/a,n/a,n/a
MARRS User setup,Adding new users,,,DS,,,,Windows,ASP?,Facilities,Facilities,Tony,Facilities,,,,,,,,,,,,,X,,,,System,Data Services,Datasync?,,Dave Love,TH,DL,Phong Nguyen?,Facilities?,Mica Cosby,Facility operations
Mastery,"Registration for ""Mastery in Communication"" workshops",,,DS/DES,,,Event Registration,Windows,ASP,SE,Application Services,Rachel,Ursula,Katya,,,GSB,,,,,X,,X,,,,Admin,7,Student,Academic,Supplemental Opportunities,Mastery in Communication,Parthi,RK,UK,KC Kwong,Communications Program?,Carolyn Simons?,Staff|Student Programs|?
MBAfocus GTS,Global Talent Solutions - job board and career management hosted solution,,,Admissions,,,Matching,SaaS,Product,Vendor,Application Services,Susan,Susan,,,,SaaS,,,,,X,,X,X,,,Admin,5,Student; Alumnus/a,Career; Career,Multiple; Job Opportunities,,Parthi,RK,UK,?,CMC,Maeve Richard,Staff|Career Management Center
Microsoft Office 365,group mailboxes,,,UIT,,,Communication,SaaS,Product,ITS,DevOps Infrastructure,Raj,Elisha,Elisha,,,GSB,,,,,X,X,X,,X,,Admin,7,,,,,Dave Love,TH,DL,,,,
Mobile GSB,Launching point for mobile-accessible content,,,DS/DES,,,Website,,Java,SE,Application Services,Rachel,Ursula,,,"Gurmeet, Sandeep, Vyshali",GSB,,,,X,X,X,X,,,,Academic,8,Student,Administrative,Common Processes,"Room Booking, Directory",Parthi,RK,UK,Max Stocks,MBA Program,Ashlee Yang,Staff|Student Programs|Communication
Mural,Synchronous whiteboarding app. Formerly mural.ly,,,DS,,,Project management,SaaS,SaaS,,,Ranga,John T,,,,SaaS,,,,,,,,,,,,,,,,,John,RJ,JY,John,,,LEAD
MyGSB Class Catalog Admin,Administrative tool to categorize courses for search/display within MyGSB; also includes that search/display portion,,,,,,Utility,Salesforce,Salesforce,SE,Application Services,Rachel,Vivek,Parthipan,,,GSB,,,,X,X,,X,,,,Utility,9,staff only,,,,n/a,,,?,?,?,?
MyGSB Communication Center (MyGSB Digest),"Deadlines, announcements, events, schedules, primarily focused on students and admits",,,DS,,,Calendar / Messaging,,.NET,Ciber / SE,Web Services,Rachel,Susan,,TBD,"Mahesh, Manju, Nirmala",GSB,,via MyGSB,MyGSB Digest,X,X,X,X,,X,,Admin,2,Student,Administrative,Communication,,Parthi,RK,UK,Susan Watkins,MBA Program,Ashlee Yang,Staff|Student Programs|Communication
MyGSB Website (Acquia Drupal),"Internal portal for students, staff, faculty writen in Drupal.",,,DS,,,Website,,PHP,SE,Web Services,Rachel,Max,Judy,,"Roopesh, Vijeesh Himanshi, Bala",GSB,,https://mygsb.stanford.edu,,X,X,X,X,,,,Web,1,Student,Academic; Administrative,"Coursework; Communication, Common Processes","Research Courses; -, Multiple",Adam,MS,NK,"Adam Moore, Judy Heng",MBA Program,Ashlee Yang,Staff|Student Programs|?
NetKernel,,,,DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vivek,RN,VS,Adam Moore,DS,Adam Moore,
Non-GSB Registration Site,Application/website that lists GSB courses available to nongsb students; minor WebAuth integration,,,DS,,,Static web page,,HTML,SE,Web Services,Rachel,Rachel,,,,GSB,,,nongsbreg,,,,,,,X,Admin,3,Stanford Student,,,,Parthi,RK,UK,,,,
Normal form games,"Game theory simulation for Yossi Feinberg, Paul Oyer",,,DS,,,Learning simulation,,Forio,,,Ranga,,,,,GSB,,,,,,,,,,,,,,,,,John,RJ,JY,Joy,n/a,n/a,MBA|MSx|Ignite
NovoEd,Learning Management System for select programs (LEAD),,,DS,,,LMS,,Product,DLS,DLS,Ranga,John T,Elaine,,,,,,,,X,X,,,,X,,,Student,Academic,Coursework,Learn (Take Courses),John,RJ,JY,John T,?,?,?
OBIEE Infrastructure,Infrastructure for data connections to OBIEE reporting tool,,,UIT,,,Reporting,,OBIEE,SE,,Raj,Phong,Vivek,,Aravind,University,,,OBI,,,,,,X,,Reporting,10,System,Data Services,Reporting,,Vivek,RK,VS,,,,
OnBase - Financial Aid,"3rd party Financial aid application workflow engine, initially implemented with university undergrad's instance (in-house) in Spring 2011",,,DS/DES,,,Application / Review,,Product,AS,Application Services,Ursula,Ursula,Susan,,,University,,,,,X,,X,,,,Admin,4,Student,Administrative,Financial Aid,?,Parthi,RK,UK,Ursula Kaiser,Financial Aid,Jack Edwards,Staff|Financial Aid
OpenEdEx,Learning Management System for select programs (?),,,DS,,,LMS,,Product,DLS,DLS,Ranga,John T,Elaine,,,,,,,,X,X,,,,X,,,Student,Academic,Coursework,Learn (Take Courses),John,RJ,JY,John T,?,?,?
Personal Information Form,Global Experience Requirement - Personal Information Form for study trips,,,DS/DES,,,Form,,Salesforce,SE,Application Services,Rachel,Julia,KC,,"Rekha, Raji, Manju",GSB,,,PIF,,X,X,X,,,X,Admin,4,Student,Academic,Global Experience Requirement,Multiple,Parthi,RK,UK,Katya Kelly,Facility,Erica Agiewich,Staff|Student Programs|Global Program?
PrinterOn,Mobile printing solution (enable printing by email),,Active,DevOps,,,Utility,,Product,"CRC
TCG",DevOps Infrastructure,Dave,Paul,,,,GSB,https://docs.google.com/a/stanford.edu/spreadsheets/d/1Z0oe4YuWn_PIxtBPUNgoO0Lq-t6CMU7IlF9qEcGaeXo/edit?usp=sharing,,,,X,X,X,,X,,Admin,3,Student,Administrative,Common Processes,Printing,Dave Love,TH,DL,Phong Nguyen,n/a,n/a,n/a
Public Websites (Drupal),Public and AD-protected websites implemented in Drupal,,,DS,,,Website,,PHP,SE,Web Services,Jonas,Inna,,,"Roopesh, Bala, Himanshi",GSB,,http://www.gsb.stanford.edu/,,,,X,X,,,X,Web,1,Public,,,,Adam,MS,NK,Adam Moore,Marketing,Sorel Denholtz,Multiple?
Qualtrics,"3rd party survey tool, includes integration with WebAuth",,,UIT,,,Survey,,Product,Vendor,IT Services/Help Desk,Raj,Bryan ,Vivek,,,SaaS,,,,X,X,X,X,,,X,Academic,6,,,,,Raj,TH,UK,Bryan McCann,,,
Qualtrics (authentication passthrough),WebAuth passthrough for Qualtrics survey tool (restricted access),,,DS,,,AuthN Integration,,Perl,SE,Application Services,Raj,Vivek,Asha,,,GSB,,ask asha later,,,X,X,X,,,,Admin,9,System,Infrastructure,Authorization,,Raj,TH,UK,Vivek Sinha,n/a,n/a,n/a
Quantum StorNext,SAN managed by AS for video editors and motion graphics designers.  As of June 2015 there were 14 end user connected (via fiber) to the SAN in Forsythe.,,Active,UIT,,,Data Storage,,SAN,AS Storage Group,AS Storage Services,Raj,,,Frances,,University SA,https://docs.google.com/a/stanford.edu/document/d/1f5_DI_PS8-Qnd4iVRVF9Knt4xBAq3zSDwZB3w8QvbC8/edit?usp=sharing,,,,,,X,,X,,Admin,,System,Infrastructure,,,John,RJ,JK,Jonas,DLS,Shawn Dunbar,Staff|DLS
QuickBase,Simple database for FST to manage facilitators,,,FST,,,CRM,SaaS,Product,SE,,Elisha,,,,,SaaS,,,,,,,X,,,,Admin,9,?,,,,Raj,RK,RK,Lisa Radloff,Faculty Support Team,Paul Matish,Staff|Faculty Support Team
Roster Plus - Cold Caller,"Faculty-facing app for classroom use, to call upon students in class",,,DS,,,Instruction,Linux/Tomcat/Apache,Flash/Flex,Ciber / SE,Application Services,Ranga,Lisa,,Joy,"Chenji, Gurmeet, Manju, Sandeep, ",GSB,,,,,,X,,,,,Academic,7,Faculty,Teaching,Deliver,,John,RJ,JY,Joy Hsu,Faculty Support Team,Diane Lee,Staff|Faculty Support Team
Roster Plus - Face Cards,Faculty-facing app to create printed cards for grading or other class-related use,,,DS,,,Directory,Linux/Tomcat/Apache,Flash/Flex,Ciber,Application Services,Ranga,Lisa,,Joy,"Chenji, Gurmeet, Vyshali, Sandeep",GSB,,,,,,X,X,,,,Academic,6,Faculty,Teaching,Deliver,,John,RJ,JY,Joy Hsu,Faculty Support Team,Diane Lee,Staff|Faculty Support Team
Roster Plus - Memorizer,"Faculty-facing app for use before the classroom, to help instructor learn about the students",,,DS,,,Instruction,Linux/Tomcat/Apache,Flash/Flex,Ciber / SE,Application Services,Ranga,Lisa,,Joy,"Chenji, Gurmeet, Manju, Sandeep",GSB,,,,,,X,,,,,Academic,7,Faculty,Teaching,Preparing,,John,RJ,JY,Joy Hsu,Faculty Support Team,Diane Lee,Staff|Faculty Support Team
Roster Plus - Student Directory,"Student directory, precursor to oneGSB, now solely in admin mode for historical data (prior to 2012)",,,DS,,,Directory,Linux/Tomcat/Apache,Flash/Flex,Ciber,Application Services,Ranga,Lisa,,Joy,"Chenji, Gurmeet, Manju, Sandeep, Vyshali",GSB,,,,,X,X,X,,,,Admin,6,n/a,,,,John,RJ,JY,Lisa Radloff,?,,
rrod,WebAuth passthrough for Reuters Research On Demand (restricted access),,,DS,,,AuthN Integration,,Perl,SE,,Ranga,,,,,GSB,,,,,X,X,X,,,,Admin,9,Student,Academic,Coursework,Learn (Take Courses),Parthi,RK,UK,KC Kwong?,Library,?,Staff|Library
Schwab Housing,"Students apply for housing lottery, then accept/pay/fill out profile if they win",,,DS/DES,Salesforce: RTO 12 hours; RPO 4 hours https://drive.google.com/drive/folders/0B2hmx1jxdGcFdHN1aks3aVZtV0U,,Application / Review,,Salesforce,Ciber,Application Services,Tony,Ursula,Julia,KC,"Ranjith, Vyshali, Rekha",,,https://apps.gsb.stanford.edu/,,X,,,X,,,,Admin,3,Student,Administrative,Housing,,Parthi,RK,UK,KC Kwong,Schwab Residential Center,Curt Moore?,Staff|Facilities & Hospitality|Schwab Residential Team
Seating Chart,Tool to create printed output of seating arrangements for each section being taught,,,DS,,,Directory,,Flash,Ciber,Application Services,Ranga,Lisa,,Joy,"Chenji, Gurmeet, Manju, Sandeep, Vyshali",GSB,Sue Barnstable and Su Eliot have abilty to create layouts,,,,,X,X,,,,Academic,6,Faculty,Teaching,Preparing,,John,RJ,JY,Joy Hsu,Faculty Support Team,Diane Lee,Staff|Faculty Support Team
Seats Available Report,Course research tool showing available seats in GSB courses,,,DS,,,Visualization,,Tableau,Data Insights,Application Services,Rachel,Asha,Vivek,,Aravind,SaaS,,,,,X,,X,,,,,,Student,Academic,Coursework,Research Courses,Vivek,RK,VS,Aravind bhat,MBA Program,"Ashlee Yang, Lilly Kimble",Staff|Student Programs|Academic Operations
SEED CRM (Salesforce),"CRM for SEED program, launched Q1 '12",,,DS/DES,Salesforce: RTO 12 hours; RPO 4 hours https://drive.google.com/drive/folders/0B2hmx1jxdGcFdHN1aks3aVZtV0U,,CRM,,Salesforce,GSB,Application Services,Jonas,Marlen,,,,SaaS,,,,,,,X,X,,X,Admin,4,SEED Student,,,,Parthi,RK,UK,Marlen Wells,,,
Skuid,User Interface Tool - Salesforce Addon,,,DS/DES,,,CRM,,Product/Salesforce,SE,Application Services,Julia,Rajeshwar,Sandeep,,Chenji,,,,,,,,,,X,,,,,,,,Parthi,RK,UK,Rajeshwar Patil,,Debbie Bishko,
Small Group Dinners,"Matching/signup application, initially developed and supported by an MBA student",,,DS,,,Form,,Product,Vendor,Application Services,Rachel,none,none,none,,GSB,,,,,X,,,,,,,,Student,Social,Networking,,Raj,RK,RK,RK via Jamie Niemasik,MBA Program,Ashlee Yang,Staff|Student
Small Group Dinners - NEW,Matching/signup application for student community building,,NEW,DES,,,Form,,Product,SE,Application Services,Rachel,Parthipan,KC,Parthipan,Bineet,GSB,,,,,X,,,,,,,,Student,Social,Networking,,Raj,RK,RK,RK,MBA Program,Ashlee Yang,Staff|Student
SMIF ,Collections of forms for SMIF (CSI) program,,,DS/DES,Salesforce: RTO 12 hours; RPO 4 hours https://drive.google.com/drive/folders/0B2hmx1jxdGcFdHN1aks3aVZtV0U,,Form,,Salesforce,SW,Application Services,Lisa,Julia,,,"Rekha, Raji, Manju",GSB,,,SMIF,,X,,,,,X,,7,Student,Academic,Supplemental Opportunities,SMIF,Parthi,RK,UK,Julia Zivkovic,CSI,Emily Baillard,Staff|CIRCLE
SMS,SMS Suite for Jim Lattin and outside collaborators,,,DS,,,Learning simulation,,.NET,ATS,Digital Learning Solutions,Ranga,Chris,Carrie,Carrie,Gurmeet,,,,SMS,X,X,X,,,,X,Academic,5,Student,Academic,Coursework,Learn (Take Courses),Parthi,RK,UK,Chris Sadlak,n/a,Jim Lattin,Faculty
SpringCM,Document Reader for Admissions; Salesforce Addon,,,DS/DES,https://drive.google.com/drive/folders/0B2hmx1jxdGcFbkNqOTdHRGtwNjQ,,CRM,,"Product, 
Salesforce",SE,Application Services,Julia,Sandeep,,,Sandeep,,,,,,,,,,X,,,,,,,,Parthi,RK,UK,Julia Zivkovic,MBA Admissions,Debbie Bishko,Staff|Admit
Stanford Profiles,Directory and profile information for Stanford community; tied to Community Academic Profiles (CAP) application originated from Med School,,,Med IRT,,,Directory,,Product,University,Application Services,Raj,Lisa,Kim,,,University,,http://profiles.stanford.edu,CAP,,X,X,X,,,,,,Student,Administrative,Common Processes,Directory,Raj,RK,RK,Lisa Radloff,MBA Program?,Ashlee Yang?,Staff|Student Programs|Communication?
Strategy Tournament,Game theory simulation for Jon Bendor,,,DS,,,Learning simulation,Windows,.NET,DLS,,Ranga,,,,,GSB,,,,,,,,,,,,,,,,,John,RJ,JY,Chris,n/a,n/a,MBA
Student Club Waiver,Waiver for CMC Trek and Student Club Activities - has to be signed by both students and nonGSB SOs,,,DS/DES,,,Form,Salesforce,Salesforce,SE,Application Services,Rachel,Julia,KC,KC,"Rekha, Raji, Manju",GSB,,,Waiver,,X,,X,,,X,,7,Student,Social,Clubs,,Parthi,RK,UK,Katya Kelly,MBA Program,Laura Hobson?,Staff|Student Programs|Student Life?
Student Mobile,"Mobile application to deliver student deadlines, events and room scheduling; currently in development, scheduled for release 9/1/16",,,DS,,,Mobile,,Xamarin,Ciber,TBD,Rachel,Rachel,,,,GSB,,,,,X,,X,,X,,,,Student,,,,Max,MS,VS,Max Stoaks,,,Student
Syncs - Java Person,Datasync process for person information from University LDAP solution into local Copernicus database.  Includes some information from StanfordYou and Person registry not available in PeopleSoft (like affiliation and privgroups),,,DS,,,Datasync,Linux,Java,SE,Operations,Dave,Phong?,,,"Aravind, Srinivas",Datasync,,,,,,,,,X,,Utility,10,System,Data Services,Datasync,,Vivek,RK,VS,Vivek Sinha,n/a,n/a,n/a
Syncs - Postgrads,Datasync processes to bring data over from Alumni Postgrads database,,,DS,,,Datasync,SQL Server,SQL,SE,Operations,Dave,Phong?,,,"Aravind, Srinivas",Datasync,,,,,,,,,X,,Utility,10,System,Data Services,Datasync,,Vivek,RK,VS,Phong Nguyen,n/a,n/a,n/a
Syncs – PS SQL,Datasync processes to bring data over from University Peoplesoft databases,,,DS,,,Datasync,,SQL,SE,Operations,Dave,Phong?,,,"Aravind, Srinivas",Datasync,,,,,,,,,X,,Utility,10,System,Data Services,Datasync,,Vivek,RK,VS,Phong Nguyen,n/a,n/a,n/a
Tableau (AS hosted),Licensed visualization tool,,,DS,,,Reporting,,Visualization,,Application Services,Raj,Laissa Lai,Vivek,,"Aravind, Kuldeep, Raghu, Sahithya",,,,,,X,X,X,,,,,,,,,,Vivek,RK,VS,Laissa Lai,GSB-wide,Luke Pena,Staff|Student Programs
Tableau Online (Cloud),Licensed visualization tool,,,DS,,,Reporting,,Visualization,,Application Services,Raj,Laissa Lai,Vivek,,"Aravind, Kuldeep, Raghu, Sahithya",,,,,,X,X,X,,,,,,,,,,Vivek,RK,VS,Laissa Lai,GSB-wide,Luke Pena,Student Programs
TAPS,"Tenure, Appointment, Promotion.  Faculty evaluation system",,,DS/DES,Salesforce: RTO 12 hours; RPO 4 hours https://drive.google.com/drive/folders/0B2hmx1jxdGcFdHN1aks3aVZtV0U,,CRM,,Salesforce,SE,Application Services,Ursula,Ursula,,,"Chenji, Vyshali, Kalaivani, Sandeep, Ramaseshu, Ranjith",,,,,,,,,,,,,,Faculty,Career,Promotion & Tenure,,Parthi,RK,UK,Sandeep Kadoor,Academic Administration,Claudia Morgan,Staff|Academic Administration
TextManager,Content and configuration management utility used in many ASP and Java apps,,To be retired,DES,,,Utility,,ASP,SE,Application Services,Raj,,,,,GSB,,,,,,,X,,X,,Utility,7,System,Infrastructure,Application Module,,Parthi,RK,UK,Vivek Sinha,n/a,n/a,n/a
Travel Waiver,Travel Waiver (GER and nonGER) - has to be signed by students and nonGSB before travelling abroad,,,DS/DES,Salesforce: RTO 12 hours; RPO 4 hours https://drive.google.com/drive/folders/0B2hmx1jxdGcFdHN1aks3aVZtV0U,,Form,,Salesforce,SE,Application Services,"Rachel, Tony",Julia,KC,KC,"Rekha, Raji, Manju",GSB,,,Waiver,,X,,,,,X,,4,Student,Academic,Global Experience Requirement,,Parthi,RK,UK,Katya Kelly,MBA Program / Facility,Joseph Jaffe / Erica Agiewich,Staff|Student Programs|Global Program
WTO Game,Trade policy simulation,,,DS,,,Learning simulation,,Google apps script,,,Ranga,John T,,,,GSB,,,,,,,,,,,,,,,,,John,RJ,JY,Carrie,n/a,n/a,MBA
Zaption,Video enhancement software,,,DS,,,Learning application,,SaaS,,,Ranga,,,,,SaaS,,,,,,,,,,,,,,,,,John,RJ,JY,Colleen,,,LEAD|MBA
12Twenty,,,,,,,,SaaS,SaaS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMock SmartResume,,,,,,,,SaaS,SaaS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMock CareerFit,,,,,,,,SaaS,SaaS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
